SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
LNNP,b0:a7:b9:9e:05:63,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,4,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:24:09.250,2024-11-07 03:54:59.627,Infrastructure,Unknown,72,-68,LNNP,b0:a7:b9:9e:05:63,-79,2427,102.62690613839362,17.939712491518883
CEIT-Staff,c8:66:5d:37:89:24,"Extreme Networks, Inc.",0,WPA2-Personal,CCMP,802.11ac,161,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:17.468,2024-11-07 03:55:57.143,Infrastructure,Unknown,24,-86,CEIT-Staff,c8:66:5d:37:89:24,-83,5805,102.62620946442756,17.939368681234917
staffconference5ghz_2,98:da:c4:7e:d9:d8,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:17.468,2024-11-07 03:27:57.823,Infrastructure,Unknown,33,-82,staffconference5ghz_2,98:da:c4:7e:d9:d8,-71,5785,102.62630045890268,17.939232034946006
staffconference5ghz_1,98:da:c4:7e:d9:d7,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:24:20.099,2024-11-07 04:00:13.116,Infrastructure,Unknown,83,-59,staffconference5ghz_1,98:da:c4:7e:d9:d7,-70,5180,102.62630045890268,17.939232034946006
ITPN G12,cc:32:e5:50:23:72,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:24:39.606,2024-11-07 03:26:37.318,Infrastructure,Unknown,31,-83,ITPN G12,cc:32:e5:50:23:72,-44,2452,102.62634197931315,17.93904599504945
IVO-BLOCKCHAIN,ac:15:a2:7c:62:94,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ax,8,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:24:59.419,2024-11-07 04:00:13.116,Infrastructure,Unknown,85,-55,IVO-BLOCKCHAIN,ac:15:a2:7c:62:94,-69,2447,102.62631940640271,17.939031503371375
UNITEL_THALACOM,a0:a3:f0:9f:24:4e,D-Link International,0,WPA2-Personal,CCMP,802.11ac,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:25:04.140,2024-11-07 03:54:40.947,Infrastructure,Unknown,29,-84,UNITEL_THALACOM,a0:a3:f0:9f:24:4e,-75,5220,102.62671313448789,17.939521207562944
Champa-lao Dental,d0:96:fb:77:4d:9f,DZS Inc.,0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:25:22.459,2024-11-07 03:54:51.327,Infrastructure,Unknown,81,-62,Champa-lao Dental,d0:96:fb:77:4d:9f,-60,2422,102.62680651088174,17.939552064753414
DEVELOPMENT,24:43:e2:73:6b:78,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:25:22.459,2024-11-07 03:27:11.762,Infrastructure,Unknown,33,-82,DEVELOPMENT,24:43:e2:73:6b:78,-76,2412,102.62624852996126,17.93934354963481
KhounthavyKM1,a0:36:bc:d7:29:5a,ASUSTek COMPUTER INC.,0,WPA2-Personal,CCMP,802.11ax,10,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:25:41.600,2024-11-07 03:27:51.716,Infrastructure,Unknown,43,-78,KhounthavyKM1,a0:36:bc:d7:29:5a,-71,2457,102.6267868230626,17.93964405143086
c686bc06,50:2c:c6:86:bc:06,"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:25:46.342,2024-11-07 03:55:25.926,Infrastructure,Unknown,31,-83,c686bc06,50:2c:c6:86:bc:06,-80,2412,102.62680651088174,17.939552064753414
JiJi,b0:4e:26:b3:3b:d3,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:25:49.808,2024-11-07 03:27:45.648,Infrastructure,Unknown,33,-82,JiJi,b0:4e:26:b3:3b:d3,-55,2462,102.626949734951,17.939852479126028
Guest_EDL-GEN,dc:08:56:5a:e5:d2,Alcatel-Lucent Enterprise,0,WPA2-Personal,CCMP,802.11ax,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:25:51.084,2024-11-07 03:27:45.648,Infrastructure,Unknown,22,-87,Guest_EDL-GEN,dc:08:56:5a:e5:d2,-90,5220,102.62680651088174,17.939552064753414
Sirima,e8:f6:54:bd:68:ad,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:25:51.084,2024-11-07 03:27:51.716,Infrastructure,Unknown,24,-86,Sirima,e8:f6:54:bd:68:ad,-75,5180,102.62681793348682,17.939148962035265
APC Workshop,98:1a:35:ca:ca:34,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:26:09.241,2024-11-07 03:28:11.760,Infrastructure,Unknown,65,-71,APC Workshop,98:1a:35:ca:ca:34,-87,5745,102.6265433396781,17.93849372982786
AndroidAP,d4:ae:05:c2:1d:bd,"Samsung Electronics Co.,Ltd",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:26:09.241,2024-11-07 03:28:01.354,Infrastructure,Unknown,50,-76,AndroidAP,d4:ae:05:c2:1d:bd,-83,2462,102.6265433396781,17.93849372982786
Chanthala,cc:29:bd:68:60:62,zte corporation,0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:26:09.241,2024-11-07 03:28:01.354,Infrastructure,Unknown,53,-75,Chanthala,cc:29:bd:68:60:62,-72,2417,102.6265433396781,17.93849372982786
Galaxy A13,a2:da:54:d2:b3:52,Unknown,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:26:09.241,2024-11-07 03:28:01.354,Infrastructure,Unknown,53,-75,Galaxy A13,a2:da:54:d2:b3:52,-61,2412,102.62676151964084,17.93899259223102
Paobounchin_Malathang,24:43:e2:92:0b:f8,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,4,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:26:09.241,2024-11-07 03:28:18.155,Infrastructure,Unknown,85,-55,Paobounchin_Malathang,24:43:e2:92:0b:f8,-66,2427,102.62506927079455,17.93836439187662
Wi-Fi SRV Room,b4:75:0e:1a:a6:40,Belkin International Inc.,0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:25:55.061,2024-11-07 03:27:45.648,Infrastructure,Unknown,16,-90,Wi-Fi SRV Room,b4:75:0e:1a:a6:40,-92,5745,102.62671313448789,17.939521207562944
TAIY WIFI,14:46:58:e6:8f:c8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:25:55.061,2024-11-07 03:28:01.354,Infrastructure,Unknown,60,-73,TAIY WIFI,14:46:58:e6:8f:c8,-81,5745,102.62676151964084,17.93899259223102
Yunan pork spl,c0:bf:c0:ac:e5:e4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,10,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:25:55.061,2024-11-07 03:27:45.648,Infrastructure,Unknown,35,-81,Yunan pork spl,c0:bf:c0:ac:e5:e4,-53,2452,102.6269856460078,17.940192927130802
Staff.conference,34:60:f9:a8:72:f0,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,8,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:26:00.602,2024-11-07 03:55:57.143,Infrastructure,Unknown,70,-69,Staff.conference,34:60:f9:a8:72:f0,-78,2447,102.62623723639032,17.93936808906248
ITPN-S G11,cc:32:e5:50:23:71,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11ac,157,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:26:00.602,2024-11-07 03:27:51.716,Infrastructure,Unknown,29,-84,ITPN-S G11,cc:32:e5:50:23:71,-46,5785,102.62632543488668,17.93903577719073
B203 5G,f0:9b:b8:e6:45:dd,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:26:00.602,2024-11-07 03:55:57.143,Infrastructure,Unknown,20,-88,B203 5G,f0:9b:b8:e6:45:dd,-82,5745,102.62630045890268,17.939232034946006
enmaster_105.,f0:9b:b8:e6:45:dc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:26:00.602,2024-11-07 03:55:57.143,Infrastructure,Unknown,18,-89,enmaster_105.,f0:9b:b8:e6:45:dc,-86,5745,102.62632543488668,17.93903577719073
Paobounchin_Malathang,24:43:e2:92:cb:90,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,4,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:26:00.602,2024-11-07 03:28:18.155,Infrastructure,Unknown,82,-61,Paobounchin_Malathang,24:43:e2:92:cb:90,-71,2427,102.62639332233084,17.938251333836938
LN,24:43:e2:73:b4:49,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,40,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:26:02.409,2024-11-07 03:28:01.354,Infrastructure,Unknown,35,-81,LN,24:43:e2:73:b4:49,-81,5200,102.6265433396781,17.93849372982786
