SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
Pei tu.kok,24:43:e2:93:19:b8,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:59.4,00:11.0,Infrastructure,Unknown,40,-79,Pei tu.kok,24:43:e2:93:19:b8,-72,2462,102.54776145235856,18.029639745605
BIS,e8:6e:44:dd:49:a8,zte corporation,0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:59.4,00:07.7,Infrastructure,Unknown,40,-79,BIS,e8:6e:44:dd:49:a8,-68,2452,102.54776145235856,18.029639745605
HENGXING2015,f4:28:53:f3:bf:0c,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:02.1,00:17.2,Infrastructure,Unknown,40,-79,HENGXING2015,f4:28:53:f3:bf:0c,-87,2437,102.54969467953356,18.02907923395518
UNITEL_Phailin2022,5c:92:5e:c7:41:70,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:02.1,00:17.2,Infrastructure,Unknown,84,-57,UNITEL_Phailin2022,5c:92:5e:c7:41:70,-68,2412,102.54853160553668,18.029108449836503
HUAWEI-5G-62Nt,30:c5:0f:ab:e5:58,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,58:02.1,00:11.0,Infrastructure,Unknown,16,-90,HUAWEI-5G-62Nt,30:c5:0f:ab:e5:58,-82,5180,102.54775042861128,18.02941783738756
WLAN1-C2D7S16C19000038,9c:b2:b2:67:8b:62,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",58:02.1,00:01.8,Infrastructure,Unknown,29,-84,WLAN1-C2D7S16C19000038,9c:b2:b2:67:8b:62,-86,2437,102.54775042861128,18.02941783738756
Sai,b4:04:21:87:90:6e,zte corporation,0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:07.4,00:32.3,Infrastructure,Unknown,81,-63,Sai,b4:04:21:87:90:6e,-63,2427,102.54969467953356,18.02907923395518
YAO CHENG-2.4G,16:13:fb:74:d7:1c,Unknown,0,WPA2-Personal,CCMP,802.11ax,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,58:09.5,00:17.2,Infrastructure,Unknown,80,-65,YAO CHENG-2.4G,16:13:fb:74:d7:1c,-74,2462,102.54969467953356,18.02907923395518
YAO CHENG-5G,16:13:fb:74:d7:20,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,58:09.5,00:17.2,Infrastructure,Unknown,40,-79,YAO CHENG-5G,16:13:fb:74:d7:20,-82,5180,102.5491366902361,18.029090392620645
SANTHALACK,b8:85:7b:8b:69:ac,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,10,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,58:13.6,00:17.2,Infrastructure,Unknown,57,-74,SANTHALACK,b8:85:7b:8b:69:ac,-78,2457,102.54853160553668,18.029108449836503
